"year","album","track","title","filename","artist","lyricist","composer","compilation","director(producer)"
"年份","专辑","音轨","标题","文件名","艺术家","作词人","作曲家","编曲人","制作人"
"","","","","","艺","词","曲","汇编","监制"
"2003","將愛","01","将爱","01. 将爱","王菲","王菲","王菲","张亚东","王菲,张亚东"
"2003","將愛","02","空城","02. 空城","王菲","Kwan","陈晓娟","林海","王菲,张亚东"
"2003","將愛","03","不留","03. 不留","王菲","王菲","王菲","张亚东","王菲,张亚东"
"2003","將愛","04","美错","04. 美错","王菲","林夕","郭子","孟军","王菲,张亚东"
"2003","將愛","05","乘客","05. 乘客","王菲","林夕","Sophie Zelmani,Lars Halapi","郭亮","王菲,张亚东"
"2003","將愛","06","阳宝","06. 阳宝","王菲","王菲","王菲","张亚东","王菲,张亚东"
"2003","將愛","07","旋木","07. 旋木","王菲","杨明学、Kefca","袁惟仁","黄中岳","王菲,张亚东"
"2003","將愛","08","四月雪","08. 四月雪","王菲","林夕","王菲","张亚东","王菲,张亚东"
"2003","將愛","09","夜妆","09. 夜妆","王菲","Kwan","张亚东","张亚东","王菲,张亚东"
"2003","將愛","10","烟","10. 烟","王菲","林夕","张亚东","张亚东","王菲,张亚东"
"2003","將愛","11","MV","11. MV","王菲","林夕","谢霆锋","张亚东","王菲,张亚东"
"2003","將愛","12","假爱之名","12. 假爱之名","王菲","林夕","王菲","张亚东","王菲,张亚东"
"2003","將愛","13","花事了","13. 花事了","王菲","林夕","Sophie Zelmani,Lars Halapi","郭亮","王菲,张亚东"
"2001","王菲 (2001)","01","光之翼","01. 光之翼","王菲","乔靖夫","梁翘柏","","王菲,梁翘柏"
"2001","王菲 (2001)","02","等等","02. 等等","王菲","林夕","蔡健雅","","王菲,梁翘柏"
"2001","王菲 (2001)","03","打错了","03. 打错了","王菲","林夕","蔡健雅","","王菲,梁翘柏"
"2001","王菲 (2001)","04","有时爱情徒有虚名","04. 有时爱情徒有虚名","王菲","邱黎宽","深白色","","王菲,梁翘柏"
"2001","王菲 (2001)","05","流年","05. 流年","王菲","林夕","陈晓娟","","王菲,梁翘柏"
"2001","王菲 (2001)","06","夜会","06. 夜会","王菲","林夕","梁翘柏","","王菲,梁翘柏"
"2001","王菲 (2001)","07","流浪的红舞鞋","07. 流浪的红舞鞋","王菲","王海涛","金武嶙","","王菲,梁翘柏"
"2001","王菲 (2001)","08","白痴","08. 白痴","王菲","林夕","三宝","","王菲,梁翘柏"
"2001","王菲 (2001)","09","两个人的圣经","09. 两个人的圣经","王菲","林夕","伍佰","","王菲,梁翘柏"
"2001","王菲 (2001)","10","单行道","10. 单行道","王菲","林夕","伍佰","","王菲,梁翘柏"
"2001","王菲 (2001)","11","迷魂记","11. 迷魂记","王菲","林夕","谢霆锋","","王菲,梁翘柏"
"2001","王菲 (2001)","12","色盲","12. 色盲","王菲","周耀辉","梁基爵","","王菲,梁翘柏"
"2001","王菲 (2001)","13","不眠飞行","13. 不眠飞行","王菲","林夕","郭伟亮","","王菲,梁翘柏"
"2001","王菲 (2001)","14","心路","14. 心路","王菲","何秀萍","深白色","","王菲,梁翘柏"
"2001","王菲 (2001)","15","女皇的新衣","15. 女皇的新衣","王菲","黄伟文","蔡健雅","","王菲,梁翘柏"
"2001","王菲 (2001)","16","流浪的红舞鞋 钢琴版","16. 流浪的红舞鞋 (钢琴版)","王菲","王海涛","金武嶙","","王菲,梁翘柏"
"2000","寓言","01","寒武纪","01. 寒武纪","王菲","林夕","王菲","","王菲,张亚东"
"2000","寓言","02","新房客","02. 新房客","王菲","林夕","王菲","","王菲,张亚东"
"2000","寓言","03","香奈儿","03. 香奈儿","王菲","林夕","王菲","","王菲,张亚东"
